specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_200_95_7;200;95;2800;0,012542837;0,227272727
S_200_95_7;200;95;2950;0,013184436;0,227272727
S_200_95_7;200;95;3100;0,013756683;0,243506494
S_200_95_7;200;95;3250;0,014418749;0,25974026
S_200_95_7;200;95;???;0,015007414;0,25974026
S_200_95_8;200;95;100;0;0
S_200_95_8;200;95;350;-0,002265696;0
S_200_95_8;200;95;600;0,000554066;0
S_200_95_8;200;95;850;0,000757272;0
S_200_95_8;200;95;1100;0,001352374;0
S_200_95_8;200;95;1300;0,001699008;0
S_200_95_8;200;95;1500;0,003317349;0
S_200_95_8;200;95;1700;0,005047499;0
S_200_95_8;200;95;1900;0,006673906;0
S_200_95_8;200;95;2050;0,007545087;0
S_200_95_8;200;95;2200;0,008436731;0
S_200_95_8;200;95;2350;0,009542198;0,049019608
S_200_95_8;200;95;2500;0,010347476;0,081699346
S_200_95_8;200;95;2650;0,011343371;0,130718954
S_200_95_8;200;95;2800;0,012347588;0,22875817
S_200_95_8;200;95;2950;0,013226669;0,261437908
S_200_95_8;200;95;3100;0,014262838;0,261437908
S_200_95_8;200;95;3250;0,015530939;0,294117647
S_200_95_8;200;95;???;0,016430001;0,294117647
S_200_95_8;200;95;???;0,017436673;0,294117647
S_200_95_9;200;95;100;0,000878;0
S_200_95_9;200;95;350;0,001756;0
S_200_95_9;200;95;600;0,002634;0
S_200_95_9;200;95;850;0,003512;0
S_200_95_9;200;95;1100;0,00439;0
S_200_95_9;200;95;1300;0,005268;0
S_200_95_9;200;95;1500;0,006146;0,048701299
S_200_95_9;200;95;1700;0,007024;0,064935065
S_200_95_9;200;95;1900;0,007902;0,081168831
S_200_95_9;200;95;2050;0,00878;0,081168831
S_200_95_9;200;95;2200;0,009658;0,146103896
S_200_95_9;200;95;2350;0,010536;0,178571429
S_200_95_9;200;95;2500;0,011414;0,227272727
S_200_95_9;200;95;2650;0,012292;0,275974026
S_200_95_9;200;95;2800;0,01317;0,308441558
S_200_95_9;200;95;2950;0,014048;0,308441558
S_200_95_9;200;95;3100;0,014926;0,308441558
S_200_95_9;200;95;3250;0,015804;0,340909091
S_200_95_9;200;95;???;0,016682;0,340909091
S_200_95_9;200;95;???;0,01756;0,357142857
S_200_65_7;200;65;100;0,001311263;0
S_200_65_7;200;65;350;0,001753175;0
S_200_65_7;200;65;600;0,002788069;0
S_200_65_7;200;65;850;0,002875458;0
S_200_65_7;200;65;1100;0,004001279;0
S_200_65_7;200;65;1350;0,004828234;0
S_200_65_7;200;65;1600;0,005606372;0
S_200_65_7;200;65;1800;0,004400849;0
S_200_65_7;200;65;2000;0,006780704;0
S_200_65_7;200;65;2200;0,007508395;0
S_200_65_7;200;65;2400;0,008499712;0
S_200_65_7;200;65;2600;0,009166087;0
S_200_65_7;200;65;2800;0,009488499;0
S_200_65_8;200;65;100;0,001141233;0
S_200_65_8;200;65;350;0,002711023;0
S_200_65_8;200;65;600;0,003919893;0
S_200_65_8;200;65;850;0,004868259;0
S_200_65_8;200;65;1100;0,005781843;0
S_200_65_8;200;65;1350;0,005784547;0
S_200_65_8;200;65;1600;0,006504091;0
S_200_65_8;200;65;1800;0,007957718;0
S_200_65_8;200;65;2000;0,008196452;0
S_200_65_8;200;65;2200;0,009676085;0
S_200_65_8;200;65;2400;0,009609317;0
S_200_65_8;200;65;2600;0,011060384;0
S_200_65_8;200;65;2800;0,011630466;0,016233766
S_200_65_8;200;65;3000;0,01284052;0,016233766
S_200_65_8;200;65;2650;0,013902046;0,016233766
S_200_65_8;200;65;2750;0,015526675;0,016233766
S_200_65_8;200;65;2850;0,016252747;0,016233766
S_200_65_8;200;65;???;0,016936132;0,016233766
S_200_65_8;200;65;???;0,018679854;0,016233766
S_200_65_8;200;65;???;0,017702268;0,032467532
S_200_65_8;200;65;???;0,017948999;0,032467532
S_200_65_8;200;65;???;0,019360276;0,048701299
S_200_65_8;200;65;???;0,01931195;0,048701299
S_200_65_8;200;65;???;0,020066967;0,097402597
S_200_65_8;200;65;???;0,020817351;0,12987013
S_200_65_9;200;65;100;0;0
S_200_65_9;200;65;350;-0,00017872;0
S_200_65_9;200;65;600;-0,000316278;0
S_200_65_9;200;65;850;0,000248517;0
S_200_65_9;200;65;1100;0,001192948;0
S_200_65_9;200;65;1350;0,00311783;0
S_200_65_9;200;65;1600;0,004446901;0
S_200_65_9;200;65;1800;0,005596649;0
S_200_65_9;200;65;2000;0,006901996;0
S_200_65_9;200;65;2200;0,00828575;0
S_200_65_9;200;65;2400;0,01119603;0
S_200_65_9;200;65;2600;0,012961075;0
S_200_65_9;200;65;2800;0,014747989;0
S_200_65_9;200;65;3000;0,016953127;0
S_200_65_9;200;65;2650;0,019624731;0
S_200_65_9;200;65;2750;0,021158347;0
S_140_140_6;140;140;100;0,000439855;0
S_140_140_6;140;140;350;0,002081948;0
S_140_140_6;140;140;600;0,002298754;0
S_140_140_6;140;140;850;0,003259634;0
S_140_140_6;140;140;1100;0,004439172;0,017850768
S_140_140_6;140;140;1300;0,005348186;0,035701535
S_140_140_6;140;140;1500;0,006098158;0,089253838
S_140_140_6;140;140;1650;0,007528078;0,107104605
S_140_140_6;140;140;1800;0,007940062;0,107104605
S_140_140_6;140;140;1950;0,008367109;0,107104605
S_140_140_6;140;140;2100;0,009411605;0,142806141
S_140_140_6;140;140;2250;0,009589924;0,160656908
S_140_140_6;140;140;2400;0,010868772;0,178507676
S_140_140_6;140;140;2550;0,011814512;0,214209211
S_140_140_6;140;140;2650;0,013053307;0,214209211
S_140_140_6;140;140;2750;0,013318539;0,249910746
S_140_140_6;140;140;2850;0,013821829;0,249910746
S_140_140_6;140;140;2950;0,014555413;0,267761514
S_140_140_6;140;140;3050;0,01529909;0,267761514
S_140_140_7;140;140;100;0;0
S_140_140_7;140;140;350;0,00148716;0
S_140_140_7;140;140;600;0,002834;0
S_140_140_7;140;140;850;0,003762234;0
S_140_140_7;140;140;1100;0,004707903;0
S_140_140_7;140;140;1300;0,005620395;0
S_140_140_7;140;140;1500;0,006451508;0
S_140_140_7;140;140;1650;0,007217943;0,016233766
S_140_140_7;140;140;1800;0,008114104;0,032467532
S_140_140_7;140;140;1950;0,009091453;0,032467532
S_140_140_7;140;140;2100;0,009766964;0,064935065
S_140_140_7;140;140;2250;0,010750798;0,097402597
S_140_140_7;140;140;2400;0,011433512;0,146103896
S_140_140_7;140;140;2550;0,012526066;0,146103896
S_140_140_7;140;140;2650;0,013070357;0,178571429
S_140_140_7;140;140;2750;0,01376434;0,194805195
S_140_140_7;140;140;2850;0,01449375;0,211038961
S_140_140_7;140;140;2950;0,01513858;0,211038961
S_140_140_7;140;140;3050;0,015889941;0,243506494
S_140_140_7;140;140;3150;0,016537836;0,25974026
S_140_140_7;140;140;???;0,017158922;0,275974026
S_140_140_7;140;140;???;0,018096007;0,275974026
S_140_140_8;140;140;100;0;0
S_140_140_8;140;140;350;0,000742554;0
S_140_140_8;140;140;600;0,001381505;0
S_140_140_8;140;140;850;0,002183753;0
S_140_140_8;140;140;1100;0,003573135;0
S_140_140_8;140;140;1300;0,004260717;0
S_140_140_8;140;140;1500;0,005864773;0,015625
S_140_140_8;140;140;1650;0,00661882;0,046875
S_140_140_8;140;140;1800;0,007315664;0,0625
S_140_140_8;140;140;1950;0,008345859;0,09375
S_140_140_8;140;140;2100;0,009209437;0,140625
S_140_140_8;140;140;2250;0,009916557;0,171875
S_140_140_8;140;140;2400;0,010792983;0,203125
S_140_140_8;140;140;2550;0,012049546;0,203125
S_140_140_8;140;140;2650;0,012594037;0,203125
S_140_140_8;140;140;2750;0,013288906;0,203125
S_140_140_8;140;140;2850;0,014198133;0,203125
S_140_140_8;140;140;2950;0,014872787;0,203125
S_140_140_8;140;140;3050;0,015723473;0,203125
S_140_140_8;140;140;3150;0,016394415;0,203125
S_140_140_8;140;140;???;0,016806673;0,203125
S_140_65_6;140;65;100;0,000475235;0
S_140_65_6;140;65;350;0,001463913;0
S_140_65_6;140;65;600;0,002376185;0
S_140_65_6;140;65;850;0,003327877;0
S_140_65_6;140;65;1100;0,004056177;0
S_140_65_6;140;65;1300;0,004277693;0
S_140_65_6;140;65;1500;0,004802449;0
S_140_65_6;140;65;1650;0,006468135;0
S_140_65_6;140;65;1800;0,007196541;0
S_140_65_6;140;65;1950;0,007926702;0
S_140_65_6;140;65;2100;0,008437387;0
S_140_65_6;140;65;2250;0,009357435;0
S_140_65_6;140;65;2400;0,010149701;0
S_140_65_6;140;65;2550;0,010715793;0
S_140_65_6;140;65;2650;0,011494503;0
S_140_65_6;140;65;2750;0,01186135;0
S_140_65_6;140;65;2850;0,012514026;0
S_140_65_6;140;65;2950;0,012791042;0
S_140_65_6;140;65;3050;0,013942158;0
S_140_65_6;140;65;3150;0,014696834;0
S_140_65_6;140;65;3250;0,01530266;0
S_140_65_6;140;65;???;0,015582865;0
S_140_65_6;140;65;???;0,015953718;0
S_140_65_7;140;65;100;0;0
S_140_65_7;140;65;350;0,002108374;0
S_140_65_7;140;65;600;0,003281884;0
S_140_65_7;140;65;850;0,004323086;0
S_140_65_7;140;65;1100;0,005444614;0
S_140_65_7;140;65;1300;0,006962711;0
S_140_65_7;140;65;1500;0,008137348;0
S_140_65_7;140;65;1650;0,008980104;0
S_140_65_7;140;65;1800;0,009900657;0
S_140_65_7;140;65;1950;0,010934415;0
S_140_65_7;140;65;2100;0,011664755;0
S_140_65_7;140;65;2250;0,012821853;0
S_140_65_7;140;65;2400;0,013676518;0
S_140_65_7;140;65;2550;0,014414989;0
S_140_65_7;140;65;2650;0,015303157;0
S_140_65_7;140;65;2750;0,015777451;0
S_140_65_7;140;65;2850;0,016397426;0
S_140_65_7;140;65;2950;0,016919009;0
S_140_65_7;140;65;3050;0,017697021;0
S_140_65_7;140;65;3150;0,018333147;0
S_140_65_7;140;65;3250;0,019018873;0
S_140_65_7;140;65;???;0,019702916;0
S_140_65_7;140;65;???;0,020141028;0
S_140_65_7;140;65;???;0,020523433;0
S_140_65_8;140;65;100;0;0
S_140_65_8;140;65;350;0,000462031;0
S_140_65_8;140;65;600;0,001332686;0
S_140_65_8;140;65;850;0,001733922;0
S_140_65_8;140;65;1100;0,002616505;0
S_140_65_8;140;65;1300;0,003685313;0
S_140_65_8;140;65;1500;0,004982668;0
S_140_65_8;140;65;1650;0,005852195;0
S_140_65_8;140;65;1800;0,006694078;0
S_140_65_8;140;65;1950;0,00783754;0
S_140_65_8;140;65;2100;0,0088565;0
S_140_65_8;140;65;2250;0,010053661;0
S_140_65_8;140;65;2400;0,011360507;0
S_140_65_8;140;65;2550;0,012417907;0
S_140_65_8;140;65;2650;0,014401538;0
S_140_65_8;140;65;2750;0,015301991;0
S_140_65_8;140;65;2850;0,016294907;0
S_140_65_8;140;65;2950;0,017207592;0,016233766
S_140_65_8;140;65;3050;0,018238244;0,016233766
S_95_95_7;95;95;100;-0,000267392;0
S_95_95_7;95;95;350;0,001781798;0
S_95_95_7;95;95;600;0,002326997;0
S_95_95_7;95;95;850;0,002399768;0
S_95_95_7;95;95;1100;0,006138299;0
S_95_95_7;95;95;1300;0,006260207;0
S_95_95_7;95;95;1500;0,005233268;0
S_95_95_7;95;95;1650;0,00595946;0,016233766
S_95_95_7;95;95;1800;0,006208447;0,016233766
S_95_95_7;95;95;1950;0,007623343;0,016233766
S_95_95_7;95;95;2100;0,008472198;0,016233766
S_95_95_7;95;95;2250;0,008822304;0,048701299
S_95_95_7;95;95;2400;0,00934646;0,048701299
S_95_95_7;95;95;2550;0,010167847;0,064935065
S_95_95_7;95;95;2650;0,012201299;0,064935065
S_95_95_9;95;95;100;0;0
S_95_95_9;95;95;350;0,001562608;0
S_95_95_9;95;95;600;0,002964059;0
S_95_95_9;95;95;850;0,004938696;0
S_95_95_9;95;95;1100;0,007000274;0
S_95_95_9;95;95;1300;0,013808122;0,016233766
S_95_95_9;95;95;1500;0,015225534;0,032467532
S_95_95_9;95;95;1650;0,016522126;0,064935065
S_95_95_9;95;95;1800;0,017841768;0,097402597
S_95_95_9;95;95;1950;0,019010716;0,12987013
S_65_65_6;65;65;100;0,0009;0
S_65_65_6;65;65;300;0,0018;0
S_65_65_6;65;65;500;0,0027;0
S_65_65_6;65;65;700;0,0036;0
S_65_65_6;65;65;900;0,0045;0
S_65_65_6;65;65;1050;0,0054;0
S_65_65_6;65;65;1200;0,0063;0
S_65_65_6;65;65;1350;0,0072;0
S_65_65_6;65;65;1500;0,0081;0
S_65_65_6;65;65;1600;0,009;0
S_65_65_6;65;65;1700;0,0099;0
S_65_65_6;65;65;1800;0,0108;0
S_65_65_6;65;65;1900;0,0117;0
S_65_65_6;65;65;2000;0,0126;0
S_65_65_6;65;65;2100;0,0135;0
S_65_65_6;65;65;2200;0,0144;0
S_65_65_6;65;65;2300;0,0153;0
S_65_65_6;65;65;2400;0,0162;0
S_65_65_6;65;65;???;0,0171;0
S_65_65_7;65;65;100;0,000806;0
S_65_65_7;65;65;300;0,001612;0
S_65_65_7;65;65;500;0,002418;0
S_65_65_7;65;65;700;0,003224;0
S_65_65_7;65;65;900;0,00403;0
S_65_65_7;65;65;1050;0,004836;0
S_65_65_7;65;65;1200;0,005642;0
S_65_65_7;65;65;1350;0,006448;0
S_65_65_7;65;65;1500;0,007254;0
S_65_65_7;65;65;1600;0,00806;0
S_65_65_7;65;65;1700;0,008866;0
S_65_65_7;65;65;1800;0,009672;0
S_65_65_7;65;65;1900;0,010478;0
S_65_65_7;65;65;2000;0,011284;0
S_65_65_7;65;65;2100;0,01209;0
S_65_65_7;65;65;2200;0,012896;0
S_65_65_7;65;65;2300;0,013702;0
S_65_65_7;65;65;2400;0,014508;0
S_65_65_7;65;65;???;0,015314;0
S_65_65_7;65;65;???;0,01612;0
S_65_65_8;65;65;100;0;0
S_65_65_8;65;65;300;0,000797726;0
S_65_65_8;65;65;500;0,00162779;0
S_65_65_8;65;65;700;0,002672399;0
S_65_65_8;65;65;900;0,003586306;0
S_65_65_8;65;65;1050;0,004644188;0
S_65_65_8;65;65;1200;0,005521446;0
S_65_65_8;65;65;1350;0,006572739;0
S_65_65_8;65;65;1500;0,007840466;0
S_65_65_8;65;65;1600;0,008606015;0
S_65_65_8;65;65;1700;0,009815566;0
S_65_65_8;65;65;1800;0,010582465;0
S_65_65_8;65;65;1900;0,011523742;0
S_65_65_8;65;65;2000;0,012353075;0
S_65_65_8;65;65;2100;0,013551246;0
S_65_65_8;65;65;2200;0,01449239;0
S_65_65_8;65;65;2300;0,016180908;0
S_65_65_8;65;65;2400;0,01662342;0
S_65_65_8;65;65;???;0,017594567;0
S_65_65_8;65;65;???;0,017184889;0
H_600_140_6;600;140;100;0;0
H_600_140_6;600;140;1300;0,000612106;0
H_600_140_6;600;140;2500;0,001532426;0
H_600_140_6;600;140;3700;0,002551833;0
H_600_140_6;600;140;4900;0,003576623;0,017850768
H_600_140_6;600;140;6100;0,004436045;0,035701535
H_600_140_6;600;140;7300;0,005055623;0,142806141
H_600_140_6;600;140;8500;0,005743155;0,267761514
H_600_140_6;600;140;9700;0,006751439;0,392716887
H_600_140_6;600;140;10900;0,007266204;0,51767226
H_600_140_6;600;140;12100;0,008150802;0,58907533
H_600_140_6;600;140;13300;0,009274478;0,642627633
H_600_140_6;600;140;14500;0,010164579;0,678329168
H_600_140_6;600;140;15700;0,010060974;0,749732238
H_600_140_6;600;140;16900;0,011684476;0,803284541
H_600_140_6;600;140;18100;0,012101089;0,856836844
H_600_140_6;600;140;19300;0,01298842;0,981792217
H_600_140_6;600;140;20500;0,013055267;1,088896823
H_600_140_6;600;140;???;0,013659439;1,160299893
H_600_140_6;600;140;???;0,014403238;1,160299893
H_600_140_6;600;140;???;0,015572146;1,196001428
H_600_140_7;600;140;100;0,000182;0
H_600_140_7;600;140;1300;0,001139;0
H_600_140_7;600;140;2500;0,002096;0
H_600_140_7;600;140;3700;0,003053;0
H_600_140_7;600;140;4900;0,00401;0,032679739
H_600_140_7;600;140;6100;0,004967;0,114379085
H_600_140_7;600;140;7300;0,005924;0,245098039
H_600_140_7;600;140;8500;0,006881;0,359477124
H_600_140_7;600;140;9700;0,007838;0,490196078
H_600_140_7;600;140;10900;0,008795;0,68627451
H_600_140_7;600;140;12100;0,009752;0,784313725
H_600_140_7;600;140;13300;0,010709;0,800653595
H_600_140_7;600;140;14500;0,011666;0,849673203
H_600_140_7;600;140;15700;0,012623;0,866013072
H_600_140_7;600;140;16900;0,01358;0,91503268
H_600_140_7;600;140;18100;0,014537;0,947712418
H_600_140_7;600;140;19300;0,015494;0,964052288
H_600_140_7;600;140;20500;0,016451;1,045751634
H_600_140_7;600;140;???;0,017408;1,12745098
H_600_140_7;600;140;???;0,018365;1,12745098
H_140_140_7;140;140;100;0;0
H_140_140_7;140;140;1300;0,000297039;0
H_140_140_7;140;140;2500;0,000594078;0
H_140_140_7;140;140;3700;0,00184558;0
H_140_140_7;140;140;4900;0,00335;0
H_140_140_7;140;140;6100;0,00402;0
H_140_140_7;140;140;7300;0,00469;0
H_140_140_7;140;140;8500;0,00536;0
H_140_140_7;140;140;9700;0,00603;0,033112583
H_140_140_7;140;140;10900;0,0067;0,066225166
H_140_140_7;140;140;12100;0,00737;0,066225166
H_140_140_7;140;140;13300;0,00804;0,082781457
H_140_140_7;140;140;14500;0,00871;0,099337748
H_140_140_7;140;140;15700;0,00938;0,099337748
H_140_140_7;140;140;16900;0,01005;0,099337748
H_140_140_8;140;140;100;0;0
H_140_140_8;140;140;1300;0,008126779;0
H_140_140_8;140;140;2500;0,011472222;0
H_140_140_8;140;140;3700;0,013416997;0
H_140_140_8;140;140;4900;0,015194302;0,016339869
H_140_140_8;140;140;6100;0,016727363;0,016339869
H_140_140_8;140;140;7300;0,018358498;0,049019608
H_140_140_8;140;140;8500;0,019584293;0,065359477
H_140_140_8;140;140;9700;0,020355783;0,098039216
H_140_140_8;140;140;10900;0,020724143;0,114379085
H_140_140_8;140;140;12100;0,022311348;0,130718954
H_140_140_8;140;140;13300;0,023443701;0,130718954
H_140_140_8;140;140;14500;0,02440759;0,130718954
H_140_140_8;140;140;15700;0,025744231;0,130718954
H_140_140_8;140;140;16900;0,026578205;0,147058824
H_140_140_8;140;140;18100;0,027823674;0,147058824
H_65_65_7;65;65;100;0;0
H_65_65_7;65;65;1300;0,00024228;0
H_65_65_7;65;65;2500;0,000484559;0
H_65_65_7;65;65;3700;0,001527831;0
H_65_65_7;65;65;4900;0,001916084;0
H_65_65_7;65;65;6100;0,002587203;0
H_65_65_7;65;65;7300;0,002445442;0
H_65_65_7;65;65;8500;0,004783589;0
H_65_65_7;65;65;9700;0,00498199;0
H_65_65_7;65;65;10900;0,005581525;0
H_65_65_7;65;65;12100;0,006948099;0
H_65_65_7;65;65;13300;0,007894866;0
H_65_65_7;65;65;14500;0,009022123;0
H_65_65_7;65;65;15700;0,010007397;0
H_65_65_7;65;65;16900;0,011445369;0
H_65_65_8;65;65;100;0;0
H_65_65_8;65;65;1300;0,0005;0
H_65_65_8;65;65;2500;0,001;0
H_65_65_8;65;65;3700;0,0015;0
H_65_65_8;65;65;4900;0,00192478;0
H_65_65_8;65;65;6100;0,00242478;0
H_65_65_8;65;65;7300;0,003196532;0
H_65_65_8;65;65;8500;0,003568404;0
H_65_65_8;65;65;9700;0,004048208;0
H_65_65_8;65;65;10900;0,005033904;0
H_65_65_8;65;65;12100;0,005865095;0
H_65_65_8;65;65;13300;0,006216787;0
H_65_65_8;65;65;14500;0,007064035;0
H_65_65_8;65;65;15700;0,00779424;0
H_65_65_8;65;65;16900;0,008662157;0
H_65_65_8;65;65;18100;0,008748262;0
